id,customer_id,employee_id,order_date,delivery_date,shipped_date,shipper_id,weight,ship_name,ship_postal_code,ship_country
1,VRXDN,17,1951-03-04,1951-03-25,1951-03-24,6,41.85479799712307,White Clover Markets,G9Q1P,Russia
2,UBEEV,43,1956-05-07,1956-06-06,1956-06-02,5,117.55722483867888,Piccolo und mehr,M491P,United Kingdom
3,WILMK,131,1996-10-30,1996-11-10,1996-11-08,6,54.94093700755696,Océano Atlántico Ltda.,C1PC141U,United Arab Emirates
4,PHZIR,120,1971-03-18,1971-04-14,1971-04-10,3,89.41068400105306,Save-a-lot Markets,8H13P,Romania
5,USJMB,106,1964-11-02,1964-11-29,1964-11-26,6,10.998022433883277,Hanari Carnes,30JV62KB,Chile
6,BOTTM,52,1960-08-27,1960-09-03,1960-08-31,6,71.55622783243076,Laughing Bacchus Wine Cellars,HWTI145T,Sri Lanka
7,ZBSAD,87,1956-11-06,1956-12-06,1956-12-04,2,31.58651031727876,Reggiani Caseifici,S4587,Belgium
8,COMMI,121,1965-11-17,1965-12-14,1965-12-11,2,47.09384990402579,Wellington Importadora,OX0N32,Central African Republic
9,MAGAA,118,1948-04-21,1948-04-27,1948-04-25,1,77.45700535747807,Great Lakes Food Market,60S6W,Belgium
10,XGKJV,68,1950-10-08,1950-10-17,1950-10-13,2,60.6240471878015,Bólido Comidas preparadas,L9AQB,Lebanon
11,BEKKE,117,1982-05-10,1982-06-12,1982-06-08,5,34.186306930310344,Pericles Comidas clásicas,387HX7,United Arab Emirates
12,ZIWPB,72,1977-11-28,1977-12-08,1977-12-06,1,109.94782040172379,Wartian Herkku,LUFQRC,The Bahamas
13,QKXLE,126,1963-02-19,1963-03-15,1963-03-12,4,116.844105885109,La maison d'Asie,49Y38,Sri Lanka
14,FOLKO,67,1983-09-21,1983-09-29,1983-09-25,3,26.414695374437958,Save-a-lot Markets,226F9,Belarus
15,CEKMU,100,1989-04-06,1989-04-10,1989-04-09,2,103.8898122535516,Mère Paillarde,UG525,Lithuania
16,FKSYL,109,1960-01-23,1960-02-02,1960-01-30,4,96.75151315565144,Hungry Owl All-Night Grocers,WW5718,Paraguay
17,KGPGV,28,1978-05-16,1978-05-21,1978-05-18,3,62.599737917304616,Santé Gourmet,P64A1,Romania
18,FSZAZ,7,1998-02-03,1998-03-06,1998-03-02,6,105.69624571534217,Frankenversand,P6CTW53S,Switzerland
19,DUHRF,26,1986-04-25,1986-05-17,1986-05-15,1,100.76625008169442,HILARION-Abastos,FFP94,Chile
20,DWQQJ,33,1970-12-17,1970-12-26,1970-12-23,3,75.91171389646577,Save-a-lot Markets,J4630,Saudi Arabia
21,TLDTM,129,1982-03-22,1982-04-04,1982-04-02,1,128.83323619529685,Alfred's Futterkiste,85W759,Paraguay
22,CONSH,132,1948-03-13,1948-03-20,1948-03-18,2,53.34462466521442,Simons bistro,10100,Italy
23,XBPTH,11,1987-10-21,1987-11-15,1987-11-11,5,53.705253011551065,Cactus Comidas para llevar,9261G2,Vietnam
24,CXBVM,94,1956-04-25,1956-05-14,1956-05-10,6,51.04817423821538,Frankenversand,1H027,Ukraine
25,UJFMV,52,1974-11-27,1974-12-25,1974-12-23,4,77.98913516553617,Ottilies Käseladen,Y3TPF9TL,Hungary
26,ALFKI,47,1992-12-20,1992-12-30,1992-12-27,6,26.362189958300732,Lehmanns Marktstand,AL26PE,Saudi Arabia
27,FRSRU,13,1984-09-25,1984-10-24,1984-10-21,4,9.927099076540642,Godos Cocina Típica,V4204W7,Italy
28,ROMEY,112,1973-06-20,1973-07-03,1973-06-29,3,13.825610462449625,Wellington Importadora,48OU9WD,Argentina
29,OEGTM,103,1996-01-01,1996-01-08,1996-01-06,6,66.74103443156125,Familia Arquibaldo,1H027,Ukraine
30,MDJRD,2,1967-10-17,1967-11-12,1967-11-10,1,12.483731542982486,Romero y tomillo,YZ9G25,Lithuania
31,MCEDN,112,1959-12-07,1960-01-04,1959-12-31,6,1.5715808574947427,Wilman Kala,RJ4WNY3,Qatar
32,CXYIF,29,1990-10-16,1990-10-23,1990-10-19,1,41.600389597878575,Great Lakes Food Market,G7VU8E,Argentina
33,FOLIG,97,1957-04-26,1957-05-21,1957-05-19,6,90.28220617245209,Bottom-Dollar Markets,0OL8X8ND,Belgium
34,INKVV,125,1949-09-18,1949-09-30,1949-09-29,2,93.24972892384298,Tortuga Restaurante,Q293BT,"Korea, North"
35,VBHZJ,47,1952-02-12,1952-02-18,1952-02-15,5,16.605342597509296,Suprêmes délices,2I494,Belgium
36,TRAIH,8,1964-01-30,1964-02-20,1964-02-16,4,93.75659223926758,Folies gourmandes,028O7,"Korea, South"
37,KLSJE,7,1992-10-13,1992-10-25,1992-10-24,4,21.12415739120448,Comércio Mineiro,T12 R5CP,Ireland
38,XELHT,125,1979-05-04,1979-06-05,1979-06-01,2,58.68367730719569,Spécialités du monde,Y0X7IO,Maldives
39,QVZRK,40,1976-12-19,1977-01-06,1977-01-04,6,7.112818467526339,Victuailles en stock,4FO5WI,Poland
40,ADKHD,85,1951-10-10,1951-10-26,1951-10-25,3,111.51882418501057,HILARION-Abastos,14776,Germany
41,MWZZX,72,1948-02-23,1948-03-25,1948-03-22,3,31.333235859683874,Old World Delicatessen,ZK7CAAIO,"Korea, North"
42,YEJKS,37,1982-09-23,1982-10-06,1982-10-05,6,46.86330988513847,LILA-Supermercado,028O7,"Korea, South"
43,MWUWL,95,1984-01-10,1984-02-11,1984-02-08,3,83.82810212367649,Split Rail Beer & Ale,546RYK,Italy
44,SHCSE,117,1958-05-01,1958-05-09,1958-05-07,3,128.6459939960091,Wellington Importadora,2PQ4,Egypt
45,WVZKL,69,1949-08-31,1949-09-18,1949-09-17,5,98.25925823645504,Lehmanns Marktstand,VUST5M,Saudi Arabia
46,FFHYM,27,1952-05-07,1952-05-30,1952-05-26,5,67.6093300040633,Piccolo und mehr,A91QHFGS,Mongolia
