id,name,supplier_id,category_id,quantity_per_unit,unit_price,stock,discontinued
1,"HUMMUS, SABRA CLASSIC",21,11,78,60,135,True
2,Hummus,48,10,77,29,198,False
3,"HUMMUS, OTHER",54,5,77,139,56,False
4,Hummus - NFY12140O,59,9,57,115,37,False
5,Hummus - NFY12140P,50,5,79,24,109,False
6,Hummus - NFY12140Q,58,1,13,45,186,False
7,Hummus - NFY12140R,41,1,43,63,48,False
8,Hummus - NFY12140S,8,4,72,35,169,False
9,Hummus - NFY12140F,53,1,22,94,25,False
10,Hummus - NFY12140G,27,2,17,121,83,False
11,"Hummus, Sabra Classic - CA1, IN",39,2,37,93,111,False
12,Hummus - NFY12141C,49,8,11,115,36,False
13,Hummus - NFY12141D,49,11,77,169,135,False
14,Hummus - NFY12141E,14,8,22,183,47,False
15,Hummus - NFY12141F,44,1,52,71,176,False
16,Hummus - NFY12141G,57,2,44,199,195,False
17,Hummus - NFY12141H,23,2,3,68,120,False
18,Hummus - NFY121416,57,3,12,192,19,False
19,"Hummus, Sabra Classic - GA, NJ",14,5,14,83,184,False
20,Hummus - NFY1213ZV,45,11,52,54,63,False
21,Hummus - NFY1213ZW,30,9,24,186,125,False
22,Hummus - NFY1213ZX,35,10,49,130,29,False
23,Hummus - NFY1213ZY,45,1,7,58,101,False
24,Hummus - NFY1213ZZ,52,8,55,23,45,False
25,Hummus - NFY121400,41,9,62,39,68,False
26,Hummus - NFY1213ZP,14,2,32,74,164,False
27,"Hummus, Sabra Classic - KY, CA2",12,2,54,55,122,False
28,"HUMMUS, TRIBE CLASSIC",43,9,75,73,37,False
29,Hummus - NFY12143C,23,1,1,160,148,False
30,Hummus - NFY12143D,14,1,7,14,119,False
31,Hummus - NFY12143E,46,11,9,74,106,False
32,Hummus - NFY12143F,49,11,32,5,41,False
33,Hummus - NFY12143G,43,5,42,170,44,False
34,Hummus - NFY121435,45,2,69,154,40,False
35,"Hummus, Tribe Classic - GA, NJ",36,9,11,139,64,False
36,Hummus - NFY12141W,8,1,56,102,34,False
37,Hummus - NFY12141X,40,1,67,133,26,False
38,Hummus - NFY12141Y,45,2,33,192,136,False
