id,customer_id,employee_id,order_date,delivery_date,shipped_date,shipper_id,weight,ship_name,ship_postal_code,ship_country
1,VRXDN,17,3/4/1951,3/25/1951,3/24/1951,6,41.854798,White Clover Markets,G9Q1P,Russia
2,UBEEV,43,5/7/1956,6/6/1956,6/2/1956,5,117.5572248,Piccolo und mehr,M491P,United Kingdom
3,WILMK,131,10/30/1996,11/10/1996,11/8/1996,6,54.94093701,Océano Atlántico Ltda.,C1PC141U,United Arab Emirates
4,PHZIR,120,3/18/1971,4/14/1971,4/10/1971,3,89.410684,Save-a-lot Markets,8H13P,Romania
5,USJMB,106,11/2/1964,11/29/1964,11/26/1964,6,10.99802243,Hanari Carnes,30JV62KB,Chile
6,BOTTM,52,8/27/1960,9/3/1960,8/31/1960,6,71.55622783,Laughing Bacchus Wine Cellars,HWTI145T,Sri Lanka
7,ZBSAD,87,11/6/1956,12/6/1956,12/4/1956,2,31.58651032,Reggiani Caseifici,S4587,Belgium
8,COMMI,121,11/17/1965,12/14/1965,12/11/1965,2,47.0938499,Wellington Importadora,OX0N32,Central African Republic
9,MAGAA,118,4/21/1948,4/27/1948,4/25/1948,1,77.45700536,Great Lakes Food Market,60S6W,Belgium
10,XGKJV,68,10/8/1950,10/17/1950,10/13/1950,2,60.62404719,Bólido Comidas preparadas,L9AQB,Lebanon
11,BEKKE,117,5/10/1982,6/12/1982,6/8/1982,5,34.18630693,Pericles Comidas clásicas,387HX7,United Arab Emirates
12,ZIWPB,72,11/28/1977,12/8/1977,12/6/1977,1,109.9478204,Wartian Herkku,LUFQRC,The Bahamas
13,QKXLE,126,2/19/1963,3/15/1963,3/12/1963,4,116.8441059,La maison d'Asie,49Y38,Sri Lanka
14,FOLKO,67,9/21/1983,9/29/1983,9/25/1983,3,26.41469537,Save-a-lot Markets,226F9,Belarus
15,CEKMU,100,4/6/1989,4/10/1989,4/9/1989,2,103.8898123,Mère Paillarde,UG525,Lithuania
16,FKSYL,109,1/23/1960,2/2/1960,1/30/1960,4,96.75151316,Hungry Owl All-Night Grocers,WW5718,Paraguay
17,KGPGV,28,5/16/1978,5/21/1978,5/18/1978,3,62.59973792,Santé Gourmet,P64A1,Romania
18,FSZAZ,7,2/3/1998,3/6/1998,3/2/1998,6,105.6962457,Frankenversand,P6CTW53S,Switzerland
19,DUHRF,26,4/25/1986,5/17/1986,5/15/1986,1,100.7662501,HILARION-Abastos,FFP94,Chile
20,DWQQJ,33,12/17/1970,12/26/1970,12/23/1970,3,75.9117139,Save-a-lot Markets,J4630,Saudi Arabia
21,TLDTM,129,3/22/1982,4/4/1982,4/2/1982,1,128.8332362,Alfred's Futterkiste,85W759,Paraguay
22,CONSH,132,3/13/1948,3/20/1948,3/18/1948,2,53.34462467,Simons bistro,10100,Italy
23,XBPTH,11,10/21/1987,11/15/1987,11/11/1987,5,53.70525301,Cactus Comidas para llevar,9261G2,Vietnam
24,CXBVM,94,4/25/1956,5/14/1956,5/10/1956,6,51.04817424,Frankenversand,1H027,Ukraine
25,UJFMV,52,11/27/1974,12/25/1974,12/23/1974,4,77.98913517,Ottilies Käseladen,Y3TPF9TL,Hungary
26,ALFKI,47,12/20/1992,12/30/1992,12/27/1992,6,26.36218996,Lehmanns Marktstand,AL26PE,Saudi Arabia
27,FRSRU,13,9/25/1984,10/24/1984,10/21/1984,4,9.927099077,Godos Cocina Típica,V4204W7,Italy
28,ROMEY,112,6/20/1973,7/3/1973,6/29/1973,3,13.82561046,Wellington Importadora,48OU9WD,Argentina
29,OEGTM,103,1/1/1996,1/8/1996,1/6/1996,6,66.74103443,Familia Arquibaldo,1H027,Ukraine
30,MDJRD,2,10/17/1967,11/12/1967,11/10/1967,1,12.48373154,Romero y tomillo,YZ9G25,Lithuania
31,MCEDN,112,12/7/1959,1/4/1960,12/31/1959,6,1.571580857,Wilman Kala,RJ4WNY3,Qatar
32,CXYIF,29,10/16/1990,10/23/1990,10/19/1990,1,41.6003896,Great Lakes Food Market,G7VU8E,Argentina
33,FOLIG,97,4/26/1957,5/21/1957,5/19/1957,6,90.28220617,Bottom-Dollar Markets,0OL8X8ND,Belgium
34,INKVV,125,9/18/1949,9/30/1949,9/29/1949,2,93.24972892,Tortuga Restaurante,Q293BT,"Korea, North"
35,VBHZJ,47,2/12/1952,2/18/1952,2/15/1952,5,16.6053426,Suprêmes délices,2I494,Belgium
36,TRAIH,8,1/30/1964,2/20/1964,2/16/1964,4,93.75659224,Folies gourmandes,028O7,"Korea, South"
37,KLSJE,7,10/13/1992,10/25/1992,10/24/1992,4,21.12415739,Comércio Mineiro,T12 R5CP,Ireland
38,XELHT,125,5/4/1979,6/5/1979,6/1/1979,2,58.68367731,Spécialités du monde,Y0X7IO,Maldives
39,QVZRK,40,12/19/1976,1/6/1977,1/4/1977,6,7.112818468,Victuailles en stock,4FO5WI,Poland
40,ADKHD,85,10/10/1951,10/26/1951,10/25/1951,3,111.5188242,HILARION-Abastos,14776,Germany
41,MWZZX,72,2/23/1948,3/25/1948,3/22/1948,3,31.33323586,Old World Delicatessen,ZK7CAAIO,"Korea, North"
42,YEJKS,37,9/23/1982,10/6/1982,10/5/1982,6,46.86330989,LILA-Supermercado,028O7,"Korea, South"
43,MWUWL,95,1/10/1984,2/11/1984,2/8/1984,3,83.82810212,Split Rail Beer & Ale,546RYK,Italy
44,SHCSE,117,5/1/1958,5/9/1958,5/7/1958,3,128.645994,Wellington Importadora,2PQ4,Egypt
45,WVZKL,69,8/31/1949,9/18/1949,9/17/1949,5,98.25925824,Lehmanns Marktstand,VUST5M,Saudi Arabia
46,FFHYM,27,5/7/1952,5/30/1952,5/26/1952,5,67.60933,Piccolo und mehr,A91QHFGS,Mongolia
47,TWWIA,125,10/31/1973,11/13/1973,11/11/1973,6,79.13075315,B's Beverages,708S5,Sri Lanka
48,BJQXQ,21,9/20/1955,10/5/1955,10/2/1955,2,96.28989377,Tortuga Restaurante,D32094YG,Greece
49,RUXKX,66,6/19/1952,6/29/1952,6/26/1952,1,2.101823056,Save-a-lot Markets,763T0T,Dominican Republic
50,DPAAN,49,9/24/1991,10/10/1991,10/7/1991,6,34.04051826,Save-a-lot Markets,LJWOYW4J,Spain
51,LRCZU,40,12/22/1975,1/7/1976,1/5/1976,5,19.15556261,Furia Bacalhau e Frutos do Mar,UC03G,Hungary
52,WTOMS,80,10/13/1974,10/28/1974,10/27/1974,4,22.10901112,Lazy K Kountry Store,32RBCGET,South Africa
53,CXYIF,39,1/22/1970,2/11/1970,2/10/1970,6,9.366505955,Ernst Handel,3Z19Q3K,Netherlands
54,AQHXR,121,2/19/1985,3/11/1985,3/10/1985,3,2.982519176,Santé Gourmet,MZ122,Malaysia
55,QZJEX,20,12/22/1967,1/15/1968,1/11/1968,5,33.44178521,Rancho grande,1203,Switzerland
56,UZPIA,45,6/10/1997,6/14/1997,6/12/1997,1,116.0282839,HILARION-Abastos,437114,Lebanon
57,WARTH,99,8/26/1955,9/25/1955,9/21/1955,6,13.97154486,Wartian Herkku,MU394I13,Morocco
58,ZTWJM,115,7/11/1959,7/17/1959,7/13/1959,3,36.91523611,Mère Paillarde,5022,Mexico
59,AFCSI,119,10/15/1965,11/12/1965,11/8/1965,2,95.8632544,Wolski Zajazd,Q00J3,Thailand
60,WHITC,8,2/9/1975,2/14/1975,2/13/1975,3,17.45194209,QUICK-Stop,29919,Czech Republic
61,OQJEG,89,8/18/1987,9/10/1987,9/7/1987,2,99.0823873,Rattlesnake Canyon Grocery,907R02,Iceland
62,XJNCJ,89,7/8/1994,7/14/1994,7/12/1994,1,80.99893084,Tradiçao Hipermercados,30JV62KB,Chile
63,QYURA,6,9/14/1970,9/24/1970,9/22/1970,5,31.15406673,Bon app',Q293BT,"Korea, North"
64,CACTU,87,4/8/1983,4/22/1983,4/18/1983,4,84.78645404,Magazzini Alimentari Riuniti,390S1,United Kingdom
65,HDHWD,127,7/16/1992,7/25/1992,7/21/1992,6,89.84040701,Rattlesnake Canyon Grocery,E3G25,Iceland
66,HIGSG,123,9/11/1967,9/16/1967,9/13/1967,4,54.83306427,Romero y tomillo,C5324Z,Indonesia
67,IJVZY,26,9/25/1980,10/17/1980,10/13/1980,5,104.0090425,Toms Spezialitäten,37037,Peru
68,BAWBH,8,4/7/1964,4/25/1964,4/24/1964,4,55.16254601,Simons bistro,N91KLU2,Iceland
69,XJQTF,122,12/11/1971,12/27/1971,12/23/1971,4,70.96270268,Old World Delicatessen,C1473,Malaysia
70,MLIRP,66,1/19/1982,2/21/1982,2/17/1982,3,72.68414884,Maison Dewey,65PL53,Egypt
71,XELHT,56,12/16/1987,1/8/1988,1/6/1988,3,62.426177,Folk och fä HB,1010,Argentina
72,DEONP,46,9/8/1984,10/3/1984,10/1/1984,4,85.78088399,Galería del gastronómo,A91QHFGS,Mongolia
73,SNNUK,36,1/10/1951,2/4/1951,2/1/1951,4,59.09060544,Victuailles en stock,40V5JG,Central African Republic
74,XOYQC,135,12/30/1986,1/21/1987,1/20/1987,2,43.41179248,Furia Bacalhau e Frutos do Mar,J3JK9C0S,Vatican City
75,JEULR,117,4/18/1965,5/16/1965,5/15/1965,5,76.07750316,B's Beverages,S8GTU,Ukraine
76,MYZVJ,35,1/20/1984,1/30/1984,1/26/1984,2,128.6848332,Ernst Handel,T6U8F6E7,Bulgaria
77,PBDLG,85,7/17/1991,7/31/1991,7/28/1991,3,45.56294139,Godos Cocina Típica,0LI74,Israel
78,HUNGC,83,1/16/1965,2/4/1965,2/3/1965,5,29.76899998,Wellington Importadora,PTFV3525,Australia
79,IVCXS,49,9/7/1954,10/3/1954,10/1/1954,6,126.4969951,Mère Paillarde,C9Y4P93,Nepal
80,GALED,78,3/9/1980,3/23/1980,3/21/1980,3,50.02304464,Que Delícia,3YPB9,Australia
81,MCGDW,113,12/6/1950,1/1/1951,12/29/1950,4,5.030523812,Chop-suey Chinese,L5KB1,Sweden
82,YQUPJ,22,4/1/1989,4/23/1989,4/20/1989,6,31.80979953,HILARION-Abastos,J84SVAN3,Estonia
83,GZOPD,65,2/6/1963,2/14/1963,2/12/1963,2,96.70170043,Queen Cozinha,549C9,Poland
84,MWZZX,17,6/25/1959,7/4/1959,6/30/1959,5,25.36677841,Tradiçao Hipermercados,A8W800,Iran
85,UIHAP,92,5/28/1984,6/26/1984,6/22/1984,3,78.69612234,Drachenblut Delikatessen,UPY85,Mongolia
86,LEHMS,12,12/19/1951,12/31/1951,12/27/1951,4,85.74671718,Suprêmes délices,226F9,Belarus
87,TOMSP,135,1/3/1978,1/20/1978,1/19/1978,6,37.42857118,Ernst Handel,T76RU9,"Korea, South"
88,DXGBU,69,5/15/1997,6/3/1997,5/31/1997,2,49.3961406,Pericles Comidas clásicas,0YS66R,Vatican City
89,QUEDE,43,10/16/1977,10/27/1977,10/24/1977,5,100.1992446,Lehmanns Marktstand,B5I1X6O,Dominican Republic
90,QTSGF,3,9/15/1988,10/11/1988,10/7/1988,3,0.121423397,Great Lakes Food Market,J3297E,Romania
91,CXYIF,78,3/24/1970,4/12/1970,4/11/1970,6,61.40973327,Santé Gourmet,13HH9NI,"Korea, South"
92,DEONP,86,2/18/1950,3/19/1950,3/17/1950,2,13.29962372,QUICK-Stop,M5388A,United Arab Emirates
93,KOENE,30,11/20/1948,12/9/1948,12/6/1948,3,119.8507947,Around the Horn,7C6VZ14K,Central African Republic
94,TPAXO,59,3/13/1981,4/1/1981,3/31/1981,5,114.1770101,White Clover Markets,C1PC141U,United Arab Emirates
95,JBPHD,22,10/27/1982,11/24/1982,11/20/1982,5,29.83674454,Seven Seas Imports,Q00J3,Thailand
96,KGPGV,117,8/15/1987,9/5/1987,9/2/1987,6,53.35660144,Wolski Zajazd,VY17C3U,Brazil
97,UZPIA,92,11/7/1953,11/27/1953,11/23/1953,1,95.71180998,B's Beverages,437114,Lebanon
98,NUNRN,122,11/21/1957,12/6/1957,12/2/1957,5,115.2391749,Bottom-Dollar Markets,JD6NU,Cambodia
99,SGHIY,51,8/31/1974,9/16/1974,9/14/1974,5,51.63688076,Hungry Coyote Import Store,L9AQB,Lebanon
100,HKPQA,133,1/25/1959,1/29/1959,1/30/1959,3,55.62545333,Bon app',Q11336,Lebanon
101,CBWRI,8,8/12/1985,8/21/1985,8/18/1985,5,42.86411638,Ricardo Adocicados,60S6W,Belgium
102,MDQRO,2,11/1/1989,11/19/1989,11/17/1989,1,133.3938372,Rattlesnake Canyon Grocery,86WDE,The Bahamas
103,YQUPJ,21,2/13/1977,3/1/1977,2/28/1977,3,108.6508011,Vaffeljernet,13008,France
104,BTOHK,93,8/19/1986,9/1/1986,8/31/1986,2,10.05401679,Berglunds snabbköp,2832Y04,Ethiopia
105,STLMM,96,9/23/1957,10/23/1957,10/19/1957,3,35.40821269,LINO-Delicateses,69C69A2,Central African Republic
106,UBUXZ,44,4/7/1983,4/15/1983,4/12/1983,1,1.501270991,Folk och fä HB,71885,Egypt
107,MHILO,25,9/14/1969,10/3/1969,9/29/1969,4,66.84852233,Comércio Mineiro,G1AWORS0,Peru
108,OSRRD,25,4/4/1966,4/29/1966,4/28/1966,6,101.6996617,Wolski Zajazd,3508,Venezuela
109,ANTON,41,4/14/1997,4/20/1997,4/16/1997,2,100.1678556,Frankenversand,M3GZR,India
110,GBJZN,59,1/2/1965,1/13/1965,1/10/1965,3,69.3945507,Folies gourmandes,8F7MO3F9,Malaysia
111,GALED,20,1/5/1967,2/5/1967,2/3/1967,1,82.6227191,Blondel père et fils,Y23L1,Hungary
112,PXEGR,73,8/25/1977,9/19/1977,9/15/1977,6,80.34810155,Königlich Essen,GEG3M2,Sweden
113,QKUWJ,8,10/31/1966,11/28/1966,11/24/1966,6,92.37832292,Toms Spezialitäten,ZCHA1,Belarus
114,EWLKZ,68,5/26/1983,6/17/1983,6/15/1983,3,100.5547566,Pericles Comidas clásicas,O5W2158E,Estonia
115,IWKBU,27,6/25/1976,7/12/1976,7/10/1976,5,35.87864588,Queen Cozinha,CUDDM3,Sri Lanka
116,XOYQC,77,2/26/1970,3/18/1970,3/16/1970,2,114.018747,Romero y tomillo,6S3E02RV,Iran
117,UACLZ,21,4/18/1962,5/7/1962,5/5/1962,1,37.03896466,Spécialités du monde,LISQ6330,Cambodia
118,MDQRO,35,5/14/1960,6/7/1960,6/4/1960,5,3.798130463,Bottom-Dollar Markets,PW9D67,Uganda
119,KNQJT,106,5/9/1979,5/15/1979,5/12/1979,5,119.4838256,Folk och fä HB,N76A2P,Argentina
120,MEUUX,87,8/31/1974,9/14/1974,9/12/1974,1,34.8183343,Alfreds Futterkiste,V855D,Bulgaria
121,LUBXH,23,9/2/1950,10/3/1950,9/29/1950,2,136.4619116,Folk och fä HB,Q307RG7,Norway
122,FAMIA,7,11/16/1953,12/14/1953,12/13/1953,5,90.30186868,Tradiçao Hipermercados,32280D4,Iceland
123,UBUXZ,83,7/13/1986,7/18/1986,7/17/1986,2,104.5390724,Lehmanns Marktstand,3J8963,Iraq
124,BJMKO,1,1/1/1962,2/3/1962,1/30/1962,1,141.572631,Richter Supermarkt,3012,Switzerland
125,UXKNG,111,12/12/1985,12/22/1985,12/18/1985,5,36.458091,Chop-suey Chinese,4B79QR90,Indonesia
126,SFDIW,18,7/29/1953,8/8/1953,8/5/1953,2,122.2196611,Great Lakes Food Market,N9JBL,Ghana
127,QEUBC,111,2/12/1988,2/23/1988,2/21/1988,6,6.200531106,Save-a-lot Markets,JB0K5,Saudi Arabia
128,QEYOJ,46,6/29/1991,7/9/1991,7/8/1991,3,5.572255952,Split Rail Beer & Ale,1T071,Sri Lanka
129,AQHXR,25,9/17/1997,10/18/1997,10/16/1997,3,89.11061016,Seven Seas Imports,7KW6L,Netherlands
130,ZTWJM,61,11/2/1951,11/22/1951,11/21/1951,1,36.79433081,Simons bistro,70563,Germany
131,RCGDP,115,2/1/1974,3/2/1974,2/27/1974,6,8.352442648,Around the Horn,YZ286K,Saudi Arabia
132,NIIEW,82,11/23/1987,12/3/1987,12/1/1987,4,90.55575704,Mère Paillarde,R25243,Bulgaria
133,ANTON,23,5/14/1975,6/9/1975,6/5/1975,6,21.13029343,Laughing Bacchus Wine Cellars,929OB79,Philippines
134,VJILW,17,9/1/1999,9/22/1999,9/19/1999,1,62.15443324,Wellington Importadora,ZX8ZT7,Bolivia
135,KVWIB,128,4/2/1961,4/28/1961,4/26/1961,1,115.9917993,The Big Cheese,X503Z91H,Finland
136,MWZZX,48,2/28/1963,3/14/1963,3/13/1963,2,77.81140707,Die Wandernde Kuh,P9793D,Iran
