city,postal_code,country
Tacoma,98401,USA
Kirkland,98033,USA
Redmond,98052,USA
London,SW1 8JR,UK
London,EC2 7JR,UK
London,RG1 9SP,UK
Seattle,98105,USA
London,WG2 7LT,UK
Seattle,98122,USA
Berlin,12209,Germany
México D.F.,5021,Mexico
México D.F.,5023,Mexico
London,WA1 1DP,UK
Luleå,S-958 22,Sweden
Mannheim,68306,Germany
Strasbourg,67000,France
Madrid,28023,Spain
Marseille,13008,France
Tsawassen,T2F 8M4,Canada
London,EC2 5NT,UK
Buenos Aires,1010,Argentina
México D.F.,5022,Mexico
Bern,3012,Switzerland
Sao Paulo,05432-043,Brazil
London,WX1 6LT,UK
Aachen,52066,Germany
Nantes,44000,France
London,WX3 6FW,UK
Graz,8010,Austria
Sao Paulo,05442-030,Brazil
Madrid,28034,Spain
Lille,59000,France
Bräcke,S-844 67,Sweden
München,80805,Germany
Torino,10100,Italy
Lisboa,1675,Portugal
Barcelona,8022,Spain
Sevilla,41101,Spain
Campinas,04876-786,Brazil
Eugene,97403,USA
Caracas,1081,Venezuela
Rio de Janeiro,05454-876,Brazil
San Cristóbal,5022,Venezuela
Elgin,97827,USA
Cork,T12 R5CP,Ireland
Cowes,PO31 7PJ,UK
Brandenburg,14776,Germany
Versailles,78000,France
Toulouse,31000,France
Vancouver,V3F 2K1,Canada
Walla Walla,99362,USA
Frankfurt a.M.,60528,Germany
San Francisco,94117,USA
Barquisimeto,3508,Venezuela
I. de Margarita,4980,Venezuela
Portland,97219,USA
Bergamo,24100,Italy
Bruxelles,B-1180,Belgium
Montréal,H1J 1C3,Canada
Leipzig,4179,Germany
London,SW7 1RZ,UK
Anchorage,99508,USA
Köln,50739,Germany
Paris,75012,France
México D.F.,5033,Mexico
Salzburg,5020,Austria
Lisboa,1756,Portugal
Rio de Janeiro,02389-673,Brazil
Sao Paulo,05487-020,Brazil
Cunewalde,1307,Germany
Albuquerque,87110,USA
Reggio Emilia,42100,Italy
Rio de Janeiro,02389-890,Brazil
Genève,1203,Switzerland
Madrid,28001,Spain
Stavern,4110,Norway
Boise,83720,USA
London,OX15 4NB,UK
Kobenhavn,1734,Denmark
Paris,75016,France
Lander,82520,USA
Charleroi,B-6000,Belgium
Portland,97201,USA
Butte,59801,USA
Münster,44087,Germany
Sao Paulo,05634-030,Brazil
Kirkland,98034,USA
Århus,8200,Denmark
Lyon,69004,France
Reims,51100,France
Stuttgart,70563,Germany
Oulu,90110,Finland
Resende,08737-363,Brazil
Seattle,98128,USA
Helsinki,21240,Finland
Warszawa,01-012,Poland
London,EC1 4SD,UK
New Orleans,70117,USA
Ann Arbor,48104,USA
Tokyo,100,Japan
Oviedo,33007,Spain
Osaka,545,Japan
Melbourne,3058,Australia
Manchester,M14 GSD,UK
Göteborg,S-345 67,Sweden
Sao Paulo,5442,Brazil
Berlin,10785,Germany
Frankfurt,60439,Germany
Cuxhaven,27478,Germany
Ravenna,48100,Italy
Sandvika,1320,Norway
Bend,97101,USA
Stockholm,S-123 45,Sweden
Paris,75004,France
Boston,2134,USA
Singapore,512,Singapore
Lyngby,2800,Denmark
Zaandam,9999 ZZ,Netherlands
Lappeenranta,53120,Finland
Sydney,2042,Australia
Salerno,84100,Italy
Montceau,71300,France
Annecy,74000,France
Ste-Hyacinthe,J2S 7S8,Canada
Genève,1204,Switzerland
Seattle,98124,USA
Colchester,CO7 6JX,UK
